t=2025-09-21T02:32:42-0400 lvl=info msg="no configuration paths supplied"
t=2025-09-21T02:32:42-0400 lvl=warn msg="ngrok config file found at legacy location, move to XDG location" xdg_path="/Users/prajit/Library/Application Support/ngrok/ngrok.yml" legacy_path=/Users/prajit/.ngrok2/ngrok.yml
t=2025-09-21T02:32:42-0400 lvl=info msg="using configuration at default config path" path=/Users/prajit/.ngrok2/ngrok.yml
t=2025-09-21T02:32:42-0400 lvl=info msg="open config file" path=/Users/prajit/.ngrok2/ngrok.yml err=nil
t=2025-09-21T02:32:42-0400 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-09-21T02:32:42-0400 lvl=info msg="update available" obj=updater
t=2025-09-21T02:32:42-0400 lvl=info msg="client session established" obj=tunnels.session
t=2025-09-21T02:32:42-0400 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-09-21T02:32:42-0400 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://4252b6112c8e.ngrok-free.app
t=2025-09-21T02:32:57-0400 lvl=info msg="join connections" obj=join id=929115c2295d l=127.0.0.1:3000 r=[2607:f470:34:2101:14d:8c6c:559d:410d]:55542
t=2025-09-21T02:32:58-0400 lvl=info msg="join connections" obj=join id=565fc94349ce l=127.0.0.1:3000 r=[2607:f470:34:2101:14d:8c6c:559d:410d]:55542
t=2025-09-21T02:32:58-0400 lvl=info msg="join connections" obj=join id=0555aeda61fc l=127.0.0.1:3000 r=[2607:f470:34:2101:14d:8c6c:559d:410d]:55573
t=2025-09-21T02:33:34-0400 lvl=info msg="join connections" obj=join id=499f63964521 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:33:35-0400 lvl=info msg="join connections" obj=join id=b18126dd3780 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:33:36-0400 lvl=info msg="join connections" obj=join id=455e2173cc97 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:33:37-0400 lvl=info msg="join connections" obj=join id=619099b9572e l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:33:42-0400 lvl=info msg="join connections" obj=join id=a450176a29d9 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49580
t=2025-09-21T02:33:43-0400 lvl=info msg="join connections" obj=join id=37ed7f244824 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:33:46-0400 lvl=info msg="join connections" obj=join id=b6ad68ddc2c0 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:33:46-0400 lvl=info msg="join connections" obj=join id=653bf055adeb l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:33:47-0400 lvl=info msg="join connections" obj=join id=2eec1767e822 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:33:48-0400 lvl=info msg="join connections" obj=join id=b0083053b7e3 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
t=2025-09-21T02:33:48-0400 lvl=info msg="join connections" obj=join id=7f13ae201741 l=127.0.0.1:3000 r=[2607:f470:34:2101:95e8:5e0e:a63:975c]:49578
